Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);sec;Frequency (Hz);activity
0.147890051;-0.7068312168;0.44850540159999996;0.6022939682;0;53;Walking
0.166546353;-1.144111872;0.5156106949;1.185168266;0;53;Walking
0.185202708;-1.223345995;0.5375695229;1.421165466;0;53;Walking
0.20385901;-1.5584523680000002;0.5709052086;1.4268264769999999;0;53;Walking
0.222515312;-1.816246033;0.40657806399999996;1.481425285;0;53;Walking
0.24117161399999998;-1.96227324;0.2067465782;1.3528003690000001;0;53;Walking
0.259827968;-1.8972193;0.08753442764000001;0.9969520569;0;53;Walking
0.27848427;-1.707748413;-0.09956789017;0.4696588516;0;53;Walking
0.297140572;-1.063728571;-0.2201018333;-0.0884141922;0;53;Walking
0.315796874;-0.4957450628;-0.2810602188;-0.4413986206;0;53;Walking
0.334453176;-0.04534423351;-0.21695995329999998;-0.7763900757;0;53;Walking
0.35310953100000003;0.14704597;-0.2431912422;-1.0057029720000001;0;53;Walking
0.371765833;-0.07520568371;-0.2723155022;-0.8946084976;0;53;Walking
0.390422135;-0.24555814269999998;-0.3017811775;-0.46489715579999996;0;53;Walking
0.409078437;-0.6564720869;-0.27437686920000004;-0.018536567690000002;0;53;Walking
0.427734739;-1.2871418;-0.08080053329;0.04894447327;0;53;Walking
0.44639109299999996;-1.653645873;0.03783226013;0.1166744232;0;53;Walking
0.465047395;-2.0383067130000003;0.1500535011;0.7142114639;0;53;Walking
0.48370374899999996;-2.152927876;0.3445272446;1.027368546;0;53;Walking
0.502359999;-1.8936768769999999;0.45084095;0.4389734268;0;53;Walking
0.5210163529999999;-1.582374334;0.49928665159999996;0.09968090057;0;53;Walking
0.539672656;-1.598922491;0.48640728;0.1306762695;0;53;Walking
0.5583289579999999;-1.8664475680000001;0.48129749299999997;0.11327171330000001;0;53;Walking
0.57698526;-1.862763643;0.4948987961;-0.312959671;0;53;Walking
0.5956416139999999;-1.830824375;0.5298986435;-0.5536851883;0;53;Walking
0.614297916;-1.392917514;0.4154500961;-0.6842842102;0;53;Walking
0.632954218;-1.207327604;0.35673856740000004;-0.5140533447;0;53;Walking
0.65161052;-1.109783411;0.21794700620000002;-0.4280815125;0;53;Walking
0.670266822;-0.7989604473;0.21450901030000002;-0.6780185699;0;53;Walking
0.688923176;-0.8671861290999999;0.1135625839;-0.6860542297;0;53;Walking
0.707579478;-1.009130001;0.0577173233;-0.6015415192;0;53;Walking
0.726235781;-1.014880657;0.01618766785;-0.3253936768;0;53;Walking
0.744892083;-1.065873861;-0.0332865715;-0.20110797879999998;0;53;Walking
0.7635484370000001;-1.067242265;0.056986808779999995;-0.6029129028;0;53;Walking
0.7822047390000001;-1.003103256;0.08022165297999999;-0.6943254470999999;0;53;Walking
0.800861041;-0.9921283126;-0.03670358658;-0.5058965683;0;53;Walking
0.819517395;-1.22964716;-0.24811840059999998;0.08937549591;0;53;Walking
0.838173697;-1.5810940269999998;-0.4902410507;0.5084266663;0;53;Walking
0.856829999;-1.592068434;-0.5930676460000001;0.4914264679;0;53;Walking
0.8754863009999999;-1.616290569;-0.68704319;0.283249855;0;53;Walking
0.8941426029999999;-1.45500946;-0.6440849304;-0.03262424469;0;53;Walking
0.9127989059999999;-1.34677887;-0.5890769958;-0.4994478226;0;53;Walking
0.93145526;-1.426177263;-0.4327406883;-0.8592510223000001;0;53;Walking
0.950111562;-1.693715096;-0.2983078957;-1.097762108;0;53;Walking
0.968767864;-1.8724156619999999;-0.304702282;-1.057536125;0;53;Walking
